candidate_id,source,composer_normalized,title,actual_grade,actual_grade_source,predicted_grade,model_version,p_G3,p_G5,p_G6,p_G7,p_G8,p_G9
gh:LYD01/music-teacher@main:public/pieces/ode-to-joy.musicxml,github,Ludwig van Beethoven,Ode to Joy,,,3,dummy-v0,0.996,0.004,0.000,0.000,0.000,0.000
gh:LYD01/music-teacher@main:public/pieces/open-string-notes.musicxml,github,Exercise,Open String Notes,,,3,dummy-v0,0.957,0.043,0.000,0.000,0.000,0.000
gh:LYD01/music-teacher@main:public/pieces/prelude-emin-villalobos.musicxml,github,Heitor Villa-Lobos,Prelude No. 1 in E minor (Theme),5,dummy-advisor-v0,3,dummy-v0,0.667,0.331,0.002,0.000,0.000,0.000
gh:LYD01/music-teacher@main:public/pieces/recuerdos-theme.musicxml,github,Francisco Tárrega,Recuerdos de la Alhambra (Theme),3,dummy-advisor-v0,3,dummy-v0,0.982,0.017,0.000,0.000,0.000,0.000
gh:LYD01/music-teacher@main:public/pieces/romanza.musicxml,github,Anonymous,Romanza (Spanish Romance),3,dummy-advisor-v0,3,dummy-v0,0.988,0.012,0.000,0.000,0.000,0.000
gh:LYD01/music-teacher@main:public/pieces/second-string-notes.musicxml,github,Exercise,Notes on the B String,,,3,dummy-v0,0.984,0.016,0.000,0.000,0.000,0.000
gh:LYD01/music-teacher@main:public/pieces/spanish-study-am.musicxml,github,Traditional Spanish,Spanish Study in A minor,,,3,dummy-v0,0.799,0.200,0.000,0.000,0.000,0.000
gh:Plisken78/plisken78.github.io@main:notlasning/songs/Ave Maria.musicxml,github,F. Schubert,Ave Maria,,,3,dummy-v0,0.943,0.055,0.001,0.000,0.000,0.000
gh:ThePython10110/MuseScore@master:Converted/MusicXML/Silksong/Choral Chambers on guitar (Silksong).musicxml,github,"Christopher Larkin, Arranged by Beyond the Guitar",Choral Chambers (Silksong),7,dummy-advisor-v0,7,dummy-v0,0.000,0.280,0.214,0.468,0.038,0.000
gh:arhanv/ug-dataset@main:dataset-converted-xml/Open D/Metal/Criminal - New Disorder.musicxml,github,riffman hansgtr@hotmail.com,new disorder,5,dummy-advisor-v0,5,dummy-v0,0.400,0.586,0.011,0.002,0.000,0.000
gh:moisur/courstrompette@master:public/Wikifonia.rendered/lee konitz - subconscious lee.musicxml,github,lee konitz,subconscious lee,5,dummy-advisor-v0,3,dummy-v0,0.523,0.432,0.040,0.003,0.002,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:anonymous/andante/andante.musicxml,github,Anonymous,Andante,5,dummy-advisor-v0,3,dummy-v0,0.479,0.104,0.168,0.074,0.176,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:antonio-rovira/romance-de-amor/romance-de-amor.musicxml,github,Antonio Rovira,Romance de Amor,7,dummy-advisor-v0,7,dummy-v0,0.000,0.087,0.221,0.596,0.096,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:dilermando-reis/se-ela-perguntar/se-ela-perguntar.musicxml,github,Dilermando Reis,Se Ela Perguntar,7,dummy-advisor-v0,7,dummy-v0,0.002,0.266,0.222,0.379,0.131,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:dorival-caymmi/modinha-para-gabriela/modinha-para-gabriela.musicxml,github,Dorival Caymmi,Modinha para Gabriela,,,5,dummy-v0,0.000,0.623,0.093,0.248,0.036,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:ernesto-nazareth/odeon/odeon.musicxml,github,Ernesto Nazareth,Odeon,6,dummy-advisor-v0,5,dummy-v0,0.029,0.398,0.274,0.257,0.042,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/air-on-the-g-string/air-on-the-g-string.musicxml,github,Johann Sebastian Bach,Air on the G String,6,dummy-advisor-v0,5,dummy-v0,0.061,0.419,0.197,0.241,0.084,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/bourree/bourree.musicxml,github,J. S. Bach,Bourreé,6,dummy-advisor-v0,6,dummy-v0,0.014,0.124,0.483,0.304,0.075,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/jesu-joy-of-mans-desiring/jesu-joy-of-mans-desiring.musicxml,github,J. S. Bach,"Jesu,  Joy of Man's Desiring",6,dummy-advisor-v0,6,dummy-v0,0.000,0.342,0.349,0.202,0.108,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/minueto-I/minueto-I.musicxml,github,J. S. Bach,Minueto I,6,dummy-advisor-v0,5,dummy-v0,0.083,0.583,0.168,0.106,0.061,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/minueto-II/minueto-II.musicxml,github,J. S. Bach,Minueto II,,,5,dummy-v0,0.085,0.611,0.193,0.087,0.025,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:j-s-bach/prelude-for-lute/prelude-for-lute.musicxml,github,J. S. Bach,Prelude,,,6,dummy-v0,0.142,0.168,0.429,0.164,0.098,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:joao-pernambuco/sons-de-carrilhoes/sons-de-carrilhoes.musicxml,github,João Pernambuco,Sons de Carrilhões,,,5,dummy-v0,0.000,0.370,0.103,0.339,0.188,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:matteo-carcassi/study-3/study-3.musicxml,github,Matteo Carcassi,Study 3,5,dummy-advisor-v0,5,dummy-v0,0.215,0.469,0.161,0.093,0.062,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:maurice-ravel/bolero/bolero.musicxml,github,Maurice Ravel,Bolero,,,5,dummy-v0,0.123,0.873,0.002,0.002,0.000,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:paulinho-nogueira/bachianinha-1/bachianinha-1.musicxml,github,Paulinho Nogueira,Bachianinha Nº 1,7,dummy-advisor-v0,7,dummy-v0,0.000,0.200,0.256,0.507,0.036,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:pixinguinha/carinhoso/carinhoso.musicxml,github,Pixinguinha,Carinhoso,,,5,dummy-v0,0.003,0.624,0.230,0.111,0.033,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:waldyr-azevedo/pedacinhos-do-ceu/pedacinhos-do-ceu.musicxml,github,Waldyr Azevedo,Pedacinhos do céu,,,5,dummy-v0,0.001,0.498,0.042,0.186,0.272,0.000
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:zacar/soleado/soleado.musicxml,github,Zacar,Soleado,,,5,dummy-v0,0.134,0.596,0.129,0.112,0.029,0.000
gh:ujfjhz/ChineseMusicScore@main:MusicScore/民间音乐/汉族/河北/河北民歌-小白菜/河北民歌-小白菜.musicxml,github,河北民歌,河北民歌-小白菜,,,3,dummy-v0,0.965,0.034,0.001,0.000,0.000,0.000
guitarloot:Scores/EnglishMusic/Allison/AllisonQuadroGtr,guitarloot,Richard Allison,Quadro Pavan,3,delcamp:guitarloot,3,dummy-v0,0.729,0.014,0.049,0.058,0.103,0.049
guitarloot:Scores/EnglishMusic/Allison/AlmainAllisonAS,guitarloot,Richard Allison,Almain,3,delcamp:guitarloot,3,dummy-v0,0.459,0.090,0.291,0.040,0.120,0.000
guitarloot:Scores/EnglishMusic/Allison/DeLaTrombaPavanGtr,guitarloot,Richard Allison,De La Tromba Pavan,3,delcamp:guitarloot,8,dummy-v0,0.151,0.055,0.267,0.150,0.376,0.001
guitarloot:Scores/EnglishMusic/Allison/SharpPavan2cGtrAS,guitarloot,Richard Allison,Sharp Pavan (2c),3,delcamp:guitarloot,9,dummy-v0,0.045,0.116,0.182,0.198,0.229,0.230
guitarloot:Scores/EnglishMusic/Anon/012MilanDumpGtr,guitarloot,Anon,The Duke of Milan's Dump,6,delcamp:guitarloot,3,dummy-v0,0.471,0.309,0.082,0.079,0.060,0.000
guitarloot:Scores/EnglishMusic/Anon/CareyDompeAS,guitarloot,Anon,My Lady Carey's Dompe,5,delcamp:guitarloot,7,dummy-v0,0.002,0.202,0.294,0.350,0.150,0.002
guitarloot:Scores/EnglishMusic/Anon/DargessonGtr,guitarloot,Anon Dd.2.11 f.8,Dargesson,6,delcamp:guitarloot,3,dummy-v0,0.359,0.037,0.249,0.050,0.304,0.001
guitarloot:Scores/EnglishMusic/Anon/DowneGGtr,guitarloot,Anon 16th century,A Downe,6,delcamp:guitarloot,6,dummy-v0,0.296,0.174,0.332,0.118,0.080,0.000
guitarloot:Scores/EnglishMusic/Anon/GallUntitledGtr,guitarloot,Anon,Untitled (Galliard),6,delcamp:guitarloot,6,dummy-v0,0.005,0.320,0.349,0.154,0.172,0.000
guitarloot:Scores/EnglishMusic/Anon/JourDesireGAS,guitarloot,Anon,Jour Desiré,6,delcamp:guitarloot,6,dummy-v0,0.059,0.304,0.416,0.097,0.091,0.032
guitarloot:Scores/EnglishMusic/Anon/LothDepartAnonAS,guitarloot,Anon Dd. 2.11 f.9,Loth to Depart,6,delcamp:guitarloot,6,dummy-v0,0.023,0.113,0.521,0.145,0.193,0.004
guitarloot:Scores/EnglishMusic/Anon/MilitisDumpAArr,guitarloot,Anon: CUL MS Dd.9.33,Militis Dump,7,delcamp:guitarloot,5,dummy-v0,0.109,0.380,0.240,0.102,0.086,0.082
guitarloot:Scores/EnglishMusic/Anon/MilitisDumpAlt,guitarloot,Anon: CUL MS Dd.9.33,Militis Dump,7,delcamp:guitarloot,6,dummy-v0,0.085,0.259,0.337,0.231,0.087,0.002
guitarloot:Scores/EnglishMusic/Anon/Pastyme,guitarloot,Anon,Pastyme,5,delcamp:guitarloot,5,dummy-v0,0.092,0.417,0.272,0.098,0.121,0.000
guitarloot:Scores/EnglishMusic/Anon/PastymeAlt,guitarloot,Anon (Combined sources,Pastyme,5,delcamp:guitarloot,3,dummy-v0,0.430,0.161,0.232,0.058,0.120,0.000
guitarloot:Scores/EnglishMusic/Anon/SickSVS,guitarloot,Anon,"Sick, Sick and Very Sick",6,delcamp:guitarloot,3,dummy-v0,0.563,0.105,0.162,0.039,0.125,0.005
guitarloot:Scores/EnglishMusic/Anon/SouthwellGallAS,guitarloot,Anon. CUL Dd.2.11f.68r,Southwell's Galliard,6,delcamp:guitarloot,6,dummy-v0,0.057,0.102,0.347,0.185,0.309,0.000
guitarloot:Scores/EnglishMusic/Anon/somersettgtr,guitarloot,"Anon, 16th Century",The Duke of Somerset's Reverie (A Dompe),5,delcamp:guitarloot,7,dummy-v0,0.131,0.165,0.244,0.383,0.077,0.001
guitarloot:Scores/EnglishMusic/Anon/somersettgtrE,guitarloot,"Anon, 16th Century",The Duke of Somerset's Reverie (A dompe),5,delcamp:guitarloot,7,dummy-v0,0.079,0.184,0.225,0.391,0.113,0.010
guitarloot:Scores/EnglishMusic/Bacheler/Cour(Volt)E,guitarloot,Daniel Bacheler,Courante (or Volt),7,delcamp:guitarloot,6,dummy-v0,0.040,0.204,0.392,0.242,0.121,0.002
guitarloot:Scores/EnglishMusic/Bacheler/Cour(Volt)G,guitarloot,Daniel Bacheler,Courante (or Volt),7,delcamp:guitarloot,7,dummy-v0,0.015,0.290,0.288,0.294,0.111,0.003
guitarloot:Scores/EnglishMusic/Bacheler/EnMeRevenant.iPad,guitarloot,Daniel Bacheler,En Me Revenant (When I Return),7,delcamp:guitarloot,7,dummy-v0,0.085,0.137,0.210,0.498,0.071,0.000
guitarloot:Scores/EnglishMusic/Bacheler/FantasyBacheler06Gtr,guitarloot,Daniel Bacheler,Fantasy,7,delcamp:guitarloot,9,dummy-v0,0.001,0.102,0.044,0.176,0.281,0.397
guitarloot:Scores/EnglishMusic/Bacheler/FantasyBacheler10Gtr,guitarloot,Daniel Bacheler,Fantasy,7,delcamp:guitarloot,7,dummy-v0,0.000,0.113,0.045,0.394,0.314,0.134
guitarloot:Scores/EnglishMusic/Bacheler/Galliard.Gtr.2A,guitarloot,Daniel Bacheler,Galliard 2,7,delcamp:guitarloot,6,dummy-v0,0.018,0.234,0.350,0.171,0.216,0.010
guitarloot:Scores/EnglishMusic/Bacheler/Galliard.Gtr.3A,guitarloot,Daniel Bacheler,Galliard 3,7,delcamp:guitarloot,8,dummy-v0,0.003,0.052,0.115,0.240,0.556,0.034
guitarloot:Scores/EnglishMusic/Bacheler/Galliard1gtr,guitarloot,Daniel Bacheler,Galliard 1,7,delcamp:guitarloot,7,dummy-v0,0.015,0.168,0.159,0.509,0.148,0.000
guitarloot:Scores/EnglishMusic/Bacheler/MPavGtrArrA,guitarloot,Daniel Bacheler,Pavan,7,delcamp:guitarloot,9,dummy-v0,0.000,0.021,0.004,0.030,0.107,0.837
guitarloot:Scores/EnglishMusic/Bacheler/Prelude10str,guitarloot,Daniel Bacheler,Unmeasured Prelude,7,delcamp:guitarloot,6,dummy-v0,0.320,0.029,0.517,0.086,0.048,0.000
guitarloot:Scores/EnglishMusic/Bacheler/PreludegtrEArr,guitarloot,Daniel Bacheler,Lute Prelude,7,delcamp:guitarloot,7,dummy-v0,0.022,0.013,0.393,0.530,0.041,0.000
guitarloot:Scores/EnglishMusic/Bacheler/jeunefillettegtrEf,guitarloot,Daniel Bacheler,La Jeune Fillette,7,delcamp:guitarloot,7,dummy-v0,0.104,0.004,0.169,0.464,0.128,0.131
guitarloot:Scores/EnglishMusic/Cutting/01AnneMarkhamPavan.GtrA,guitarloot,Francis Cutting Cozens Lute Book,Mrs. Ann Markham's Pavan B01,7,delcamp:guitarloot,7,dummy-v0,0.085,0.095,0.103,0.470,0.230,0.017
guitarloot:Scores/EnglishMusic/Cutting/02GalliardGtr,guitarloot,Francis Cutting,Galliard B02,7,delcamp:guitarloot,7,dummy-v0,0.057,0.132,0.233,0.479,0.099,0.000
guitarloot:Scores/EnglishMusic/Cutting/03PavanGtrA,guitarloot,Francis Cutting,Pavan B03,7,delcamp:guitarloot,8,dummy-v0,0.139,0.035,0.177,0.262,0.367,0.021
guitarloot:Scores/EnglishMusic/Cutting/08GalliardGtr,guitarloot,Francis Cutting,Galliard B08,7,delcamp:guitarloot,6,dummy-v0,0.023,0.279,0.339,0.152,0.186,0.021
guitarloot:Scores/EnglishMusic/Cutting/09PavanGtr,guitarloot,Francis Cutting,Pavan B09,7,delcamp:guitarloot,8,dummy-v0,0.149,0.020,0.195,0.279,0.354,0.002
guitarloot:Scores/EnglishMusic/Cutting/13SansPerGtrArriPad,guitarloot,Francis Cutting,Pavan Sans Per B13,7,delcamp:guitarloot,7,dummy-v0,0.012,0.037,0.143,0.527,0.276,0.004
guitarloot:Scores/EnglishMusic/Cutting/18GroningeGtr.iPad,guitarloot,Francis Cutting,Groninge Pavan B18,7,delcamp:guitarloot,3,dummy-v0,0.800,0.012,0.052,0.071,0.065,0.000
guitarloot:Scores/EnglishMusic/Cutting/22Galliard.Gtr,guitarloot,Francis Cutting,Galliard B22,7,delcamp:guitarloot,6,dummy-v0,0.002,0.165,0.388,0.256,0.188,0.000
guitarloot:Scores/EnglishMusic/Cutting/23GalliardGtr.iPad,guitarloot,Francis Cutting,Galliard B23,7,delcamp:guitarloot,7,dummy-v0,0.073,0.149,0.277,0.403,0.098,0.000
guitarloot:Scores/EnglishMusic/Cutting/27GalliardGtr.iPad,guitarloot,Francis Cutting,Galliard B27,7,delcamp:guitarloot,8,dummy-v0,0.016,0.205,0.198,0.286,0.295,0.000
guitarloot:Scores/EnglishMusic/Cutting/32GalliardGtrA,guitarloot,Francis Cutting,Galliard 32,7,delcamp:guitarloot,8,dummy-v0,0.014,0.206,0.142,0.240,0.394,0.004
guitarloot:Scores/EnglishMusic/Cutting/33GallGtrAS,guitarloot,Francis Cutting,Galliard B33,7,delcamp:guitarloot,8,dummy-v0,0.003,0.129,0.210,0.302,0.352,0.003
guitarloot:Scores/EnglishMusic/Cutting/34GallGtrA,guitarloot,Francis Cutting,Galliard B34,7,delcamp:guitarloot,6,dummy-v0,0.101,0.110,0.402,0.208,0.179,0.001
guitarloot:Scores/EnglishMusic/Cutting/35GallGtr,guitarloot,Francis Cutting or Richard Allison,Sir Walter Raleigh's Galliard B35,7,delcamp:guitarloot,6,dummy-v0,0.035,0.106,0.478,0.166,0.214,0.000
guitarloot:Scores/EnglishMusic/Cutting/36GallGtrA,guitarloot,Francis Cutting or John Dowland,Galliard B36,7,delcamp:guitarloot,6,dummy-v0,0.013,0.077,0.364,0.262,0.276,0.008
guitarloot:Scores/EnglishMusic/Cutting/39AlmaineGtrA,guitarloot,Francis Cutting,Almaine B39,7,delcamp:guitarloot,3,dummy-v0,0.703,0.026,0.143,0.050,0.078,0.000
guitarloot:Scores/EnglishMusic/Cutting/46WilloughbyGtr.iPad,guitarloot,Francis Cutting,My Lord Willoughby's Welcome Home B46,7,delcamp:guitarloot,6,dummy-v0,0.025,0.181,0.340,0.203,0.246,0.005
guitarloot:Scores/EnglishMusic/Cutting/51LachrimaeGtr.iPad,guitarloot,Francis Cutting,Lachrimae Pavan B51,7,delcamp:guitarloot,6,dummy-v0,0.001,0.132,0.462,0.250,0.155,0.001
guitarloot:Scores/EnglishMusic/Cutting/52Quadro.GtrA,guitarloot,? Francis Cutting,Quadro Pavan B52,7,delcamp:guitarloot,6,dummy-v0,0.088,0.073,0.363,0.306,0.165,0.004
guitarloot:Scores/EnglishMusic/Cutting/55WoodsSoWildGtrArr,guitarloot,Francis Cutting/William Byrd,The Woods so Wild B55,7,delcamp:guitarloot,3,dummy-v0,0.556,0.025,0.285,0.085,0.049,0.001
guitarloot:Scores/EnglishMusic/Cutting/56GalliardGtrA,guitarloot,Francis Cutting,Galliard 56,7,delcamp:guitarloot,6,dummy-v0,0.006,0.240,0.437,0.174,0.142,0.000
guitarloot:Scores/EnglishMusic/Danyel/AnnGreneGtr,guitarloot,John Danyel,Mistress Ann Grene - Her Leaves be Green,9,delcamp:guitarloot,9,dummy-v0,0.000,0.004,0.001,0.009,0.040,0.946
guitarloot:Scores/EnglishMusic/Danyel/AnnGrenefGtr,guitarloot,John Danyel,Mistress Ann Grene - Her Leaves be Green,9,delcamp:guitarloot,9,dummy-v0,0.000,0.004,0.001,0.009,0.040,0.947
guitarloot:Scores/EnglishMusic/Danyel/MonsieurDanGtr.iPad,guitarloot,John Danyel,Mounsier's Almaine,9,delcamp:guitarloot,9,dummy-v0,0.000,0.001,0.000,0.001,0.001,0.997
guitarloot:Scores/EnglishMusic/Danyel/PavanDanGtr.iPad,guitarloot,John Danyel 1564 –,Pavan,9,delcamp:guitarloot,9,dummy-v0,0.051,0.070,0.078,0.124,0.172,0.505
guitarloot:Scores/EnglishMusic/Danyel/RosaMix,guitarloot,John Danyel,Rosa(mund),9,delcamp:guitarloot,9,dummy-v0,0.001,0.006,0.014,0.014,0.029,0.935
guitarloot:Scores/EnglishMusic/Danyel/Rosagtr,guitarloot,John Danyel,Rosa,9,delcamp:guitarloot,9,dummy-v0,0.001,0.007,0.016,0.017,0.033,0.927
guitarloot:Scores/EnglishMusic/Danyel/RosamundGtr,guitarloot,John Danyel,Rosamund,9,delcamp:guitarloot,9,dummy-v0,0.001,0.004,0.004,0.009,0.018,0.965
guitarloot:Scores/EnglishMusic/Danyel/fRosagtr,guitarloot,John Danyel,Rosa,9,delcamp:guitarloot,9,dummy-v0,0.001,0.007,0.016,0.017,0.033,0.927
guitarloot:Scores/EnglishMusic/Dowland/32VauxGalliardGtr,guitarloot,John Dowland,Mrs. Vaux Galliard,8,delcamp:guitarloot,5,dummy-v0,0.013,0.490,0.148,0.217,0.132,0.000
guitarloot:Scores/EnglishMusic/Dowland/57VauxGigue,guitarloot,John Dowland,Mrs. Vaux Gigue,8,delcamp:guitarloot,5,dummy-v0,0.095,0.361,0.239,0.196,0.109,0.000
guitarloot:Scores/EnglishMusic/Dowland/Almain49Gtr,guitarloot,John Dowland,An Almain,8,delcamp:guitarloot,8,dummy-v0,0.020,0.271,0.262,0.153,0.293,0.001
guitarloot:Scores/EnglishMusic/Dowland/AlmandGtrA,guitarloot,John Dowland,Almand,8,delcamp:guitarloot,8,dummy-v0,0.006,0.058,0.114,0.182,0.603,0.037
guitarloot:Scores/EnglishMusic/Dowland/AloeGtr.iPad,guitarloot,John Dowland,Aloe,8,delcamp:guitarloot,6,dummy-v0,0.026,0.118,0.395,0.260,0.172,0.029
guitarloot:Scores/EnglishMusic/Dowland/BarbaraDowlandGtr,guitarloot,John Dowland,La Mia Barbara,8,delcamp:guitarloot,7,dummy-v0,0.001,0.021,0.038,0.388,0.336,0.216
guitarloot:Scores/EnglishMusic/Dowland/CanSheExcuseGtriPad,guitarloot,John Dowland,"Can She Excuse My Wrongs (P42)
(Poulton 42)",8,delcamp:guitarloot,7,dummy-v0,0.007,0.095,0.282,0.353,0.264,0.000
guitarloot:Scores/EnglishMusic/Dowland/CaseP.iPad,guitarloot,John Dowland,Dr Case's Pavane,8,delcamp:guitarloot,8,dummy-v0,0.030,0.128,0.139,0.288,0.409,0.006
guitarloot:Scores/EnglishMusic/Dowland/ChamberlainGalliardGtrSoloAS,guitarloot,John Dowland,My Lord Chamberlain's Galliard,8,delcamp:guitarloot,6,dummy-v0,0.173,0.146,0.280,0.164,0.237,0.000
guitarloot:Scores/EnglishMusic/Dowland/CliftonGtr,guitarloot,John Dowland,"The Right Honourable, the Lady Clifton's Spirit",8,delcamp:guitarloot,6,dummy-v0,0.001,0.082,0.322,0.282,0.313,0.001
guitarloot:Scores/EnglishMusic/Dowland/ComeAwayGtr,guitarloot,John Dowland,Come Away,8,delcamp:guitarloot,8,dummy-v0,0.015,0.228,0.132,0.206,0.417,0.001
guitarloot:Scores/EnglishMusic/Dowland/DMidnightGtr.iPad,guitarloot,John Dowland,Mr. Dowlands Midnight,8,delcamp:guitarloot,8,dummy-v0,0.044,0.242,0.196,0.082,0.435,0.001
guitarloot:Scores/EnglishMusic/Dowland/DarbyGallEGtr.iPad,guitarloot,John Dowland,"The Right Honourable Ferdinando Earle of Darby 
his Galliard (Poulton 44a)",8,delcamp:guitarloot,8,dummy-v0,0.000,0.076,0.096,0.380,0.444,0.003
guitarloot:Scores/EnglishMusic/Dowland/DigoryGallGtrAS,guitarloot,John Dowland,Captain Digorie Piper's Galliard,8,delcamp:guitarloot,8,dummy-v0,0.006,0.235,0.136,0.246,0.365,0.012
guitarloot:Scores/EnglishMusic/Dowland/Dowlands1stGallP22AS,guitarloot,John Dowland,Dowland's First Galliard,8,delcamp:guitarloot,6,dummy-v0,0.028,0.225,0.443,0.139,0.156,0.009
guitarloot:Scores/EnglishMusic/Dowland/DowlandsBellsECA,guitarloot,John Dowland,Dowland's Bells (Lady Rich's Galliard),8,delcamp:guitarloot,8,dummy-v0,0.053,0.140,0.212,0.166,0.424,0.006
guitarloot:Scores/EnglishMusic/Dowland/DreamGtrA,guitarloot,John Dowland,A Dream,8,delcamp:guitarloot,6,dummy-v0,0.026,0.081,0.312,0.287,0.294,0.000
guitarloot:Scores/EnglishMusic/Dowland/FancyP6Gtr,guitarloot,John Dowland,A Fancy (Poulton No. 6),8,delcamp:guitarloot,8,dummy-v0,0.126,0.112,0.238,0.235,0.284,0.005
guitarloot:Scores/EnglishMusic/Dowland/Fantasia73.Gtr.iPad,guitarloot,John Dowland,Fancy,8,delcamp:guitarloot,8,dummy-v0,0.041,0.057,0.031,0.134,0.619,0.119
guitarloot:Scores/EnglishMusic/Dowland/Fantasia73.Srev.Gtr.iPad,guitarloot,John Dowland,Fancy; Revised version,8,delcamp:guitarloot,7,dummy-v0,0.001,0.054,0.051,0.531,0.364,0.000
guitarloot:Scores/EnglishMusic/Dowland/Fantasia74.Gtr.iPad,guitarloot,John Dowland,Fancy,8,delcamp:guitarloot,8,dummy-v0,0.005,0.251,0.289,0.113,0.326,0.016
guitarloot:Scores/EnglishMusic/Dowland/FantasyP5GtrAS,guitarloot,John Dowland,Fantasy,8,delcamp:guitarloot,8,dummy-v0,0.004,0.119,0.200,0.249,0.428,0.000
guitarloot:Scores/EnglishMusic/Dowland/FortuneGtrA,guitarloot,John Dowland,Fortune,8,delcamp:guitarloot,8,dummy-v0,0.018,0.091,0.170,0.217,0.492,0.011
guitarloot:Scores/EnglishMusic/Dowland/FrogTGtrA,guitarloot,after John Dowland,The Frog Galliard,8,delcamp:guitarloot,8,dummy-v0,0.001,0.097,0.143,0.274,0.443,0.043
guitarloot:Scores/EnglishMusic/Dowland/GagliardaGtr,guitarloot,Attr. John Dowland,Gagliarda,8,delcamp:guitarloot,6,dummy-v0,0.003,0.277,0.291,0.202,0.220,0.008
guitarloot:Scores/EnglishMusic/Dowland/Gall30GtrA,guitarloot,John Dowland,Galliard,8,delcamp:guitarloot,6,dummy-v0,0.015,0.077,0.326,0.269,0.313,0.000
guitarloot:Scores/EnglishMusic/Dowland/Gall35GtrRev,guitarloot,John Dowland,Galliard,8,delcamp:guitarloot,6,dummy-v0,0.008,0.134,0.309,0.261,0.287,0.001
guitarloot:Scores/EnglishMusic/Dowland/Galliard24GtrAS,guitarloot,John Dowland,Galliard (Poulton 24),8,delcamp:guitarloot,6,dummy-v0,0.002,0.208,0.339,0.221,0.228,0.002
guitarloot:Scores/EnglishMusic/Dowland/GalliardP27Gtr.iPad,guitarloot,John Dowland,Galliard,8,delcamp:guitarloot,6,dummy-v0,0.001,0.221,0.318,0.218,0.242,0.001
guitarloot:Scores/EnglishMusic/Dowland/GalliardP28Gtr,guitarloot,John Dowland,Galliard (Poulton 28),8,delcamp:guitarloot,8,dummy-v0,0.002,0.097,0.105,0.312,0.483,0.001
